# Titanic Dataset (limpio)
# Columnas entrada: Pclass, Sex (0=F,1=M), Age, SibSp, Parch, Fare
# Columna salida: Survived (0/1)
# INPUT_COLS: Pclass,Sex,Age,SibSp,Parch,Fare
# OUTPUT_COLS: Survived
Pclass,Sex,Age,SibSp,Parch,Fare,Survived
3,1,22,1,0,7.25,0
1,0,38,1,0,71.28,1
3,0,26,0,0,7.93,1
1,0,35,1,0,53.1,1
3,1,35,0,0,8.05,0
3,1,27,0,0,8.46,0
1,1,54,0,0,51.86,0
3,1,2,3,1,21.08,0
3,0,27,0,2,11.13,1
2,0,14,1,0,30.07,1
3,0,4,1,1,16.7,1
1,0,58,0,0,26.55,1
3,1,20,0,0,8.05,0
3,1,39,1,5,31.28,0
3,0,14,0,0,7.85,0
2,0,55,0,0,16,1
3,1,2,4,1,29.13,0
2,1,31,0,0,13,1
3,0,35,1,0,18,0
3,0,34,0,0,7.23,1
2,1,34,0,0,13,0
1,1,28,0,0,35.5,1
3,0,15,0,0,7.88,1
1,1,38,1,0,31,1
3,0,22,0,0,7.23,1
1,0,47,1,1,227.53,1
3,1,20,0,0,8.05,0
1,1,19,3,2,263,0
3,0,30,0,0,7.23,1
3,1,33,0,0,8.65,0
1,1,37,1,0,53.1,1
2,1,29,0,0,13,0
3,0,21,0,0,7.69,1
2,0,28,0,0,10.5,1
1,0,35,0,0,512.33,1
1,1,31,0,0,50.5,0
3,1,35,0,0,7.05,1
1,0,22,1,0,66.6,1
2,0,30,0,0,13,1
1,0,25,1,0,151.55,1
3,1,35,0,0,7.13,0
3,0,22,0,0,7.23,1
3,1,45,0,0,8.05,0
3,0,5,4,2,27.9,1
1,0,60,1,0,76.29,1
3,1,22,0,0,7.25,0
1,0,58,0,1,153.46,1
3,0,9,0,2,15.25,1
3,1,33,0,0,7.9,0
3,0,28,0,0,8.05,1
3,1,32,0,0,7.85,0
1,0,38,0,0,80,1
2,1,25,0,0,13,1
2,0,45,0,0,13.5,1
3,1,39,0,0,7.93,0
2,0,28,0,0,10.5,1
1,0,19,0,0,30,1
3,0,38,1,5,31.39,0
3,0,35,0,0,7.23,1
3,1,40,1,0,15.5,0
1,0,47,1,0,52,1
3,1,28,0,0,7.9,0
3,1,21,0,0,7.8,0
3,1,29,1,0,16.1,0
1,1,17,0,0,108.9,1
3,0,6,0,1,12.29,1
3,1,44,0,0,8.05,0
3,0,28,0,0,8.66,1
3,0,28,0,0,7.78,0
2,1,27,0,0,13,0
3,1,19,0,0,7.9,0
2,1,32,0,0,13,0
1,1,45,0,0,83.48,1
3,1,22,0,0,8.05,0
3,0,2,1,1,18.75,1
1,1,36,0,0,262.38,1
3,1,28,0,0,7.25,0
3,1,32,0,0,7.85,0
2,1,28,0,0,13,0
3,1,30,1,0,16.1,0
3,1,28,0,0,7.9,0
3,0,41,0,2,20.21,0
1,0,50,0,0,28.71,1
3,0,22,0,0,7.75,1
3,1,21,0,0,7.78,0
1,1,21,0,1,77.29,1
3,0,28,0,0,7.75,1
1,0,24,3,2,263,1
3,1,29,0,0,7.88,0
3,0,28,1,0,14.4,1
3,1,28,0,0,7.9,0
3,1,35,0,0,7.05,0
1,0,36,0,0,78.85,1
2,0,45,0,0,13.5,1
3,1,29,0,0,8.05,0
3,0,24,0,0,7.55,1
