# XOR Dataset grande (2000 filas)
# Problema clásico no linealmente separable
# INPUT_COLS: X1,X2
# OUTPUT_COLS: Y
X1,X2,Y
0.6394,0.025,1
0.275,0.2232,0
0.7365,0.6767,0
0.8922,0.0869,1
0.4219,0.0298,0
0.2186,0.5054,1
0.0265,0.1988,0
0.6499,0.5449,0
0.2204,0.5893,1
0.8094,0.0065,1
0.8058,0.6981,0
0.3403,0.1555,0
0.9572,0.3366,1
0.0927,0.0967,0
0.8475,0.6037,0
0.8071,0.7297,0
0.5362,0.9731,0
0.3785,0.552,1
0.8294,0.6185,0
0.8617,0.5774,0
0.7046,0.0458,1
0.2279,0.2894,0
0.0798,0.2328,0
0.101,0.278,0
0.6357,0.3648,1
0.3702,0.2095,0
0.267,0.9367,1
0.648,0.6091,0
0.1711,0.7291,1
0.1634,0.3795,0
0.9895,0.64,0
0.5569,0.6846,0
0.8429,0.776,0
0.229,0.0321,0
0.3155,0.2677,0
0.211,0.9429,1
0.8764,0.3147,1
0.6554,0.3956,1
0.9145,0.4589,1
0.2649,0.2466,0
0.5614,0.2627,1
0.5846,0.8978,0
0.3994,0.2193,0
0.9975,0.5095,0
0.0909,0.0471,0
0.1096,0.6274,1
0.7921,0.4222,1
0.0635,0.3816,0
0.9961,0.5291,0
0.9711,0.8608,0
0.0115,0.7207,1
0.6817,0.537,0
0.2668,0.641,1
0.1116,0.4348,0
0.4537,0.9538,1
0.8759,0.2634,1
0.5006,0.1787,1
0.9126,0.8705,0
0.2984,0.6389,1
0.609,0.1528,1
0.7625,0.5394,0
0.7786,0.5304,0
0.0006,0.3242,0
0.0195,0.9291,1
0.8787,0.8317,0
0.3075,0.0579,0
0.878,0.9469,0
0.0857,0.486,0
0.0692,0.7606,1
0.7658,0.1284,1
0.4753,0.5498,1
0.2651,0.8724,1
0.4231,0.2118,0
0.5393,0.7299,0
0.2012,0.3117,0
0.9951,0.6499,0
0.4381,0.5176,1
0.121,0.2247,0
0.3381,0.5883,1
0.2301,0.2202,0
0.071,0.6311,1
0.2289,0.9054,1
0.8596,0.0709,1
0.238,0.669,1
0.2142,0.1323,0
0.9355,0.571,0
0.4727,0.7846,1
0.8075,0.1904,1
0.0969,0.4311,0
0.4236,0.467,0
0.7291,0.6734,0
0.9842,0.0984,1
0.4026,0.3393,0
0.8617,0.2487,1
0.1902,0.4486,0
0.4219,0.2785,0
0.2498,0.9233,1
0.4431,0.8613,1
0.5503,0.0506,1
0.9993,0.836,0
0.969,0.9264,0
0.8487,0.1663,1
0.4856,0.2137,0
0.401,0.0586,0
0.379,0.9853,1
0.2652,0.7841,1
